STATION_ID,LAT_GAGE,LNG_GAGE,60,runoff,pr,sph,srad,tmmn,tmmx,pet,etr,ph,Conduc,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,distNTN,LAI,FAPAR,NPP,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,DRAIN_SQKM,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,SNOW_PCT_PRECIP,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,BFI_AVE,CONTACT,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,DDENS_2009,STOR_NOR_2009,NPDES_MAJ_DENS,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM,PESTAPP_KG_SQKM,ECO2_BAS_DOM,ECO3_BAS_DOM,NUTR_BAS_DOM,HLR_BAS_DOM_100M,PNV_BAS_DOM,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_DEGREES,Cluster
1054200,44.390444,-70.979644,199.1891979,0.982740157,3.809707841,0.00490226,162.6050699,272.1190576,283.2456562,2.197184917,2.905904386,4.732050031,18.25644842,0.111745375,0.029131419,0.028837909,0.149569187,0.228803722,1.357105595,0.255945686,1.418672633,36352.76296,287.6289809,161.454073,228.6574438,4,2.2,181,1,100,39,0.38,3,1.21,47.4,15.5,66.44,26.76,6.81,0,0,0,0,0,0,0.33,99.04,0,0,0.3,0.05,0.4,0.1,0,5.3,58,8,18,43,0.14,2.81,1.38,1.3,4.14,50.52,6.12,50.33,0.21,117.4,622.9,22.3,40.1,5
1097000,42.432038,-71.449785,212.4433151,0.633851976,3.388682053,0.005738029,169.0574363,276.6305543,288.3184754,2.814229488,3.825556528,4.601781565,26.92409624,0.156996855,0.062151732,0.039759916,0.458506364,0.284903692,1.79385844,0.834882604,2.1180148,41360.19887,239.970902,141.4743493,210.0054141,28,1.27,299.3,1,98.8,27.1,0.8,4,1.54,55.5,131.8,48.07,12.52,18.47,1.27,0,0,13.03,42.1,1,33.4,47.46,6.77,2.01,6.85,1.45,1016.7,173,40.8,8.1,59,14,7,50,0.13,5.76,1.34,0.84,3.62,51.12,5.41,40.58,0.21,136.8,106.3,4.5,81,5
1111500,41.996487,-71.562563,183.6497225,0.691396357,3.565938643,0.005842817,170.1484112,277.018294,288.3698188,2.850464734,3.885214538,4.599297843,26.12410366,0.14517123,0.058179444,0.036439766,0.381007215,0.276864732,1.764138521,0.69538523,2.059583099,56824.60053,270.3410545,156.7689607,222.2905299,24,1.33,237.2,2,100,26.5,0.76,4,1.64,53.2,68.7,66.91,12.6,13.69,6.8,0,0,11.38,110.83,0.42,11.84,69.94,4.54,2.6,7.92,0.99,438.4,92.6,1.9,8.1,59,14,16,49,0.12,5.75,1.41,2.5,3.92,52.71,5.4,41.74,0.2,139.56,150.6,4,67,5
1116500,41.750934,-71.445058,371.8636673,0.632522442,3.56770107,0.005979589,173.7216883,277.763739,288.5977546,2.931534783,4.004970519,4.598514211,26.17084512,0.146176188,0.058164422,0.036459302,0.381185696,0.277989492,1.769271568,0.695763504,2.063400326,71416.52833,243.0848109,139.7332135,216.9164844,22,1.37,525,2,100,25.5,0.82,5,1.59,58.1,90.1,64.5,14.6,8.57,8.46,2.4,0,8,328.14,0.38,21.3,59.55,3.34,3.98,8.32,1.7,420.7,87,2.9,8.1,59,14,16,49,0.12,5.12,1.41,2.93,3.52,54.49,5.53,44.89,0.21,152.01,121.4,3.6,92.4,5
1118500,41.383711,-71.833125,608.5546322,0.709636108,3.563673113,0.006234805,179.1092224,277.9714008,288.8728075,2.917149129,3.954465959,4.603108486,25.82099851,0.13548779,0.061723176,0.037044879,0.400532448,0.28421548,1.817499073,0.705202198,1.999242268,93689.39213,265.1616235,155.9851442,334.3372062,17,1.18,765.8,2,99.8,24.5,0.72,5,2.18,65.3,77.8,56.24,20.73,9.04,6.95,4.8,0,5.22,12.11,0.26,11.01,59.01,8.17,2.19,17.02,0.76,986.4,260,3.7,8.1,59,14,7,49,0.12,6.9,1.36,5.68,4.12,55.67,4.64,41.64,0.22,168.64,69.1,3.7,148.3,5
1124000,42.022319,-71.955629,292.9709495,0.667405816,3.481106289,0.005744029,170.0087622,276.228415,287.5115731,2.724385606,3.683833914,4.607335954,25.05310989,0.138005846,0.048047469,0.03118122,0.27880054,0.296338427,1.840435435,0.481896958,2.002698572,48423.79274,276.5844763,158.7416837,215.8871476,29,1.42,392,1,100,29.9,0.93,4,1.79,52.9,90.3,62.37,22.8,5.11,8.35,0,0,10.97,70.19,0.77,12,69.04,5.39,2.81,9.14,0.58,598.5,119.6,17.2,8.1,59,14,16,50,0.14,3.66,1.37,1.3,3.33,52.86,5.89,45.59,0.2,136.35,230.3,6.7,129.3,5
1125100,41.97815,-71.90035,190.6950623,0.649221137,3.460493883,0.00571903,170.0954517,276.3546726,287.5711451,2.750586271,3.730846822,4.607418831,25.05051788,0.137860811,0.048030894,0.031182774,0.278768426,0.296286628,1.839938173,0.48185034,2.002408502,50247.71273,252.6469245,148.872175,211.0910401,28,1.43,262.3,1,95.89,29,0.81,4,1.28,52.4,77.8,55.79,20.56,16.02,7.56,0,0,19.82,91.54,0.38,18.57,58.65,6.13,5.49,8.68,0.72,702.7,138.3,10.5,8.1,59,14,16,50,0.13,5.33,1.36,1.17,3.31,54.27,5.27,41.1,0.2,137.63,206.6,4.8,170.4,5
1127000,41.597876,-71.984242,1368.812661,0.664790236,3.528427424,0.005847232,171.0298491,276.615539,288.119048,2.796701346,3.795643663,4.6010299,25.72027645,0.135033003,0.059796471,0.036427261,0.383993489,0.286955971,1.814223988,0.6767002,2.003601155,71542.3754,269.1190939,156.5936401,220.8381454,24,0.85,1838.7,1,72,27.8,0.81,5,1.41,52.9,75.1,59.95,20.04,9.29,5.77,3.71,0,9.25,47.43,0.49,11.83,61.33,9.15,2.65,12.83,0.64,987.4,223.4,13.3,8.1,59,14,16,49,0.12,5.23,1.38,2.37,3.76,54.24,5.59,43.4,0.21,145.34,164.4,5.1,186.1,5
1170100,42.703417,-72.670648,94.56827882,0.789247476,3.592881017,0.005418762,165.0124494,273.9310994,285.6550408,2.450249451,3.272501014,4.606937481,23.920332,0.133916198,0.037268055,0.028717959,0.177324442,0.292782485,1.83790014,0.298536296,1.936183218,50743.17673,293.8704913,163.3652327,229.3885568,11,1.82,107,1,100,34.3,0.99,3,1.42,45.7,33.7,61.5,18.86,19.63,0,0,0,0.93,1.15,0,2.93,91.01,4.15,0.38,1.3,0.05,301.3,66,23,5.3,58,8,16,50,0.14,2.9,1.34,1.01,4.83,45.15,6.03,52.82,0.24,117.35,410.9,13.6,117.5,5
1184000,41.987319,-72.605367,18580.48394,0.662383422,3.295457111,0.005374277,161.3089253,273.6932918,285.4625907,2.440523953,3.290210298,4.601282974,24.44743339,0.144203197,0.044757844,0.029403064,0.2263782,0.291131752,1.970796281,0.393905394,2.035918862,61083.43199,272.2576918,156.7988972,341.078828,22,0.74,25049.5,1,80.4,33.2,0.69,6,1.43,47.6,68,59.58,18.62,10.55,5.32,3.23,1.41,3.21,121.05,0.22,6.89,77.87,6.36,1.88,3.16,0.28,510,97.8,6.2,5.3,58,8,16,50,0.13,3.75,1.37,1.57,3.99,50.39,6.04,49.02,0.24,101.98,384.4,11.6,157.9,5
