STAID,LAT_GAGE,LNG_GAGE,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,DRAIN_SQKM,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,SNOW_PCT_PRECIP,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,BFI_AVE,CONTACT,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,DDENS_2009,STOR_NOR_2009,NPDES_MAJ_DENS,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM,PESTAPP_KG_SQKM,ECO2_BAS_DOM,ECO3_BAS_DOM,NUTR_BAS_DOM,HLR_BAS_DOM_100M,PNV_BAS_DOM,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_DEGREES,Group
1054200,44.390444,-70.979644,4,2.2,181.0,1,100.0,39.0,0.38,3,1.21,47.4,15.5,66.44,26.76,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.33,99.04,0.0,0.0,0.3,0.05,0.4,0.1,0.0,5.3,58,8,18,43,0.14,2.81,1.38,1.3,4.14,50.52,6.12,50.33,0.21,117.4,622.9,22.3,40.1,Undeveloped
1097000,42.432038,-71.449785,28,1.27,299.3,1,98.8,27.1,0.8,4,1.54,55.5,131.8,48.07,12.52,18.47,1.27,0.0,0.0,13.03,42.1,1.0,33.4,47.46,6.77,2.01,6.85,1.45,1016.7,173.0,40.8,8.1,59,14,7,50,0.13,5.76,1.34,0.84,3.62,51.12,5.41,40.58,0.21,136.8,106.3,4.5,81.0,Urban
1111500,41.996487,-71.562563,24,1.33,237.2,2,100.0,26.5,0.76,4,1.64,53.2,68.7,66.91,12.6,13.69,6.8,0.0,0.0,11.38,110.83,0.42,11.84,69.94,4.54,2.6,7.92,0.99,438.4,92.6,1.9,8.1,59,14,16,49,0.12,5.75,1.41,2.5,3.92,52.71,5.4,41.74,0.2,139.56,150.6,4.0,67.0,Other
1116500,41.750934,-71.445058,22,1.37,525.0,2,100.0,25.5,0.82,5,1.59,58.1,90.1,64.5,14.6,8.57,8.46,2.4,0.0,8.0,328.14,0.38,21.3,59.55,3.34,3.98,8.32,1.7,420.7,87.0,2.9,8.1,59,14,16,49,0.12,5.12,1.41,2.93,3.52,54.49,5.53,44.89,0.21,152.01,121.4,3.6,92.4,Other
1118500,41.383711,-71.833125,17,1.18,765.8,2,99.8,24.5,0.72,5,2.18,65.3,77.8,56.24,20.73,9.04,6.95,4.8,0.0,5.22,12.11,0.26,11.01,59.01,8.17,2.19,17.02,0.76,986.4,260.0,3.7,8.1,59,14,7,49,0.12,6.9,1.36,5.68,4.12,55.67,4.64,41.64,0.22,168.64,69.1,3.7,148.3,Other
1124000,42.022319,-71.955629,29,1.42,392.0,1,100.0,29.9,0.93,4,1.79,52.9,90.3,62.37,22.8,5.11,8.35,0.0,0.0,10.97,70.19,0.77,12.0,69.04,5.39,2.81,9.14,0.58,598.5,119.6,17.2,8.1,59,14,16,50,0.14,3.66,1.37,1.3,3.33,52.86,5.89,45.59,0.2,136.35,230.3,6.7,129.3,Other
1125100,41.97815,-71.90035,28,1.43,262.3,1,95.89,29.0,0.81,4,1.28,52.4,77.8,55.79,20.56,16.02,7.56,0.0,0.0,19.82,91.54,0.38,18.57,58.65,6.13,5.49,8.68,0.72,702.7,138.3,10.5,8.1,59,14,16,50,0.13,5.33,1.36,1.17,3.31,54.27,5.27,41.1,0.2,137.63,206.6,4.8,170.4,Other
1127000,41.597876,-71.984242,24,0.85,1838.7,1,72.0,27.8,0.81,5,1.41,52.9,75.1,59.95,20.04,9.29,5.77,3.71,0.0,9.25,47.43,0.49,11.83,61.33,9.15,2.65,12.83,0.64,987.4,223.4,13.3,8.1,59,14,16,49,0.12,5.23,1.38,2.37,3.76,54.24,5.59,43.4,0.21,145.34,164.4,5.1,186.1,Other
1170100,42.703417,-72.670648,11,1.82,107.0,1,100.0,34.3,0.99,3,1.42,45.7,33.7,61.5,18.86,19.63,0.0,0.0,0.0,0.93,1.15,0.0,2.93,91.01,4.15,0.38,1.3,0.05,301.3,66.0,23.0,5.3,58,8,16,50,0.14,2.9,1.34,1.01,4.83,45.15,6.03,52.82,0.24,117.35,410.9,13.6,117.5,Undeveloped
1184000,41.987319,-72.605367,22,0.74,25049.5,1,80.4,33.2,0.69,6,1.43,47.6,68.0,59.58,18.62,10.55,5.32,3.23,1.41,3.21,121.05,0.22,6.89,77.87,6.36,1.88,3.16,0.28,510.0,97.8,6.2,5.3,58,8,16,50,0.13,3.75,1.37,1.57,3.99,50.39,6.04,49.02,0.24,101.98,384.4,11.6,157.9,Other
1184490,41.913889,-72.55,12,2.01,38.1,1,100.0,25.4,0.7,2,1.54,52.9,35.5,60.99,39.01,0.0,0.0,0.0,0.0,5.25,6.15,0.0,17.97,41.68,35.21,0.28,3.5,0.1,2482.6,454.4,25.6,8.1,59,14,12,49,0.11,7.62,1.42,1.85,4.53,56.34,5.61,41.33,0.24,140.43,93.9,4.2,241.7,Other
