STAID,Group
1054200,Undeveloped
1097000,Urban
1111500,Other
1116500,Other
1118500,Other
1124000,Other
1125100,Other
1127000,Other
1170100,Undeveloped
1184000,Other
1184490,Other
1188000,Other
1189995,Other
1192500,Urban
1192883,Other
1193500,Other
1196500,Urban
1198125,Other
1201487,Urban
1205500,Other
1208500,Urban
1208990,Other
1331095,Undeveloped
1349150,Other
1349840,Undeveloped
1349950,Undeveloped
1357500,Other
1362370,Undeveloped
1364959,Undeveloped
1389500,Urban
1398000,Other
1421618,Other
1422738,Other
1422747,Other
143400680,Undeveloped
1434021,Undeveloped
1434025,Undeveloped
1435000,Undeveloped
1463500,Other
1466500,Other
1472157,Other
1477120,Other
1480617,Other
1480870,Other
1481000,Other
1491000,Other
1534000,Other
1540500,Other
1545600,Undeveloped
1549700,Undeveloped
1553500,Other
1558000,Other
1567000,Other
1576754,Other
1581752,Urban
158397967,Urban
1591000,Other
1594000,Other
1594440,Other
1594526,Urban
1604500,Undeveloped
1608500,Undeveloped
1611500,Undeveloped
1614500,Other
1616500,Other
1621050,Other
1631000,Other
1634000,Other
1645704,Urban
1645762,Urban
1646305,Urban
1649190,Urban
1649500,Urban
1654000,Urban
1656903,Urban
1658000,Urban
1658500,Undeveloped
1659000,Undeveloped
1667500,Other
1668000,Other
1671020,Undeveloped
1673000,Other
1674500,Other
2035000,Other
2041650,Undeveloped
2042500,Urban
2085000,Other
2085500,Other
2087580,Urban
2089500,Other
2091500,Other
2096846,Undeveloped
2097464,Other
2116500,Other
2174250,Other
2175000,Other
2177000,Undeveloped
2198500,Other
2203603,Urban
2203655,Urban
2203700,Urban
2207385,Urban
2215000,Other
2215500,Other
2269160,Other
2270500,Other
2274005,Agricultural
2274010,Agricultural
2307359,Other
2310947,Other
2314500,Undeveloped
2318500,Other
2334885,Urban
2335870,Urban
2336120,Urban
2336240,Urban
2336300,Urban
2336360,Urban
2336526,Urban
2337410,Other
2338000,Urban
2338500,Urban
2338660,Other
2349500,Other
2349605,Other
2350080,Other
2353000,Other
2356000,Other
2358000,Other
2359170,Other
2380500,Other
2381090,Undeveloped
2387000,Other
2392000,Other
2392360,Other
2392780,Urban
2413210,Other
3056250,Other
3058000,Other
3085000,Other
3230450,Other
3230500,Other
3339000,Other
3353637,Urban
3376350,Undeveloped
3497300,Undeveloped
4063700,Undeveloped
4072150,Other
4073462,Other
4073468,Other
4077630,Undeveloped
4084445,Other
4085119,Other
40851325,Other
40851385,Other
4085427,Other
4087000,Other
4087120,Urban
4087170,Other
4137500,Other
4161820,Urban
4165500,Urban
4176500,Other
4178000,Other
4183500,Other
4186500,Other
4188496,Other
4191500,Other
4192500,Other
4193500,Other
4197100,Other
4198000,Other
4199000,Other
4208000,Urban
4212100,Other
4213500,Other
422026250,Other
4229500,Other
4230500,Other
4231000,Other
4232034,Other
4232050,Urban
423205010,Other
5014300,Undeveloped
5124480,Undeveloped
5287890,Other
5288705,Urban
5325000,Other
5406500,Other
5413500,Other
5424000,Other
5424057,Other
5427718,Other
5427850,Other
5427948,Other
54310157,Other
5431016,Other
5431017,Other
5431022,Other
5432695,Other
5432927,Agricultural
5437500,Other
5440000,Other
5446500,Other
5447500,Other
5451210,Other
5465500,Other
5474000,Other
5490500,Other
5500000,Agricultural
5514500,Agricultural
5520500,Other
5525000,Other
5525500,Other
5526000,Other
5527500,Other
5527900,Other
5527905,Other
5527910,Other
5531500,Urban
5532500,Urban
5540275,Urban
5541710,Other
5542000,Other
5543500,Other
5552500,Other
5555300,Other
5556500,Other
5570000,Other
5572000,Other
5584500,Other
5587480,Other
5588720,Urban
6259000,Undeveloped
6279500,Undeveloped
6299980,Undeveloped
6305500,Undeveloped
6306250,Undeveloped
6306300,Undeveloped
6307500,Undeveloped
6307616,Undeveloped
6308500,Undeveloped
6313500,Undeveloped
6316400,Undeveloped
6317000,Undeveloped
6324000,Undeveloped
6324500,Undeveloped
6324970,Undeveloped
6326500,Undeveloped
6426500,Undeveloped
6436180,Undeveloped
6436198,Undeveloped
6437000,Undeveloped
6441500,Undeveloped
6452000,Undeveloped
6461500,Undeveloped
6630000,Undeveloped
6713500,Other
6714000,Other
6733000,Undeveloped
6735500,Undeveloped
6741510,Undeveloped
6752260,Undeveloped
6752280,Undeveloped
6754000,Other
6784000,Undeveloped
6785000,Undeveloped
6790500,Undeveloped
6800000,Agricultural
6800500,Agricultural
6817700,Other
6880800,Other
6885500,Agricultural
6887000,Agricultural
6902000,Agricultural
6905500,Agricultural
6906300,Other
6918070,Other
6921070,Other
6926510,Other
7014500,Undeveloped
7018100,Other
7036100,Other
7040000,Undeveloped
7040100,Other
7040450,Other
7047942,Other
7048550,Other
7048600,Other
7050500,Other
7052152,Urban
7052250,Other
7052345,Other
7052500,Other
7053250,Other
7056000,Undeveloped
7060500,Other
7060710,Undeveloped
7068000,Undeveloped
7071500,Other
7083000,Undeveloped
7097000,Undeveloped
7099400,Undeveloped
7103700,Undeveloped
7103780,Other
7103970,Other
7103990,Urban
7104000,Other
7104905,Other
7105500,Other
7105530,Other
7105800,Other
7106000,Other
7106300,Other
7106500,Other
7109500,Undeveloped
7126300,Undeveloped
7126485,Undeveloped
7143672,Other
7144100,Other
7144780,Agricultural
7187000,Other
7189000,Other
7191160,Other
7191179,Other
7191220,Other
71912213,Other
7191222,Agricultural
7194800,Other
7195000,Other
7195500,Other
7196000,Other
7196500,Other
7196900,Other
7197000,Other
7227500,Undeveloped
7239450,Other
7241000,Other
7241520,Other
7241550,Other
7247015,Undeveloped
7249400,Other
7263295,Undeveloped
7277700,Other
7281977,Other
7287150,Undeveloped
7287160,Undeveloped
7288650,Agricultural
728875070,Other
7288955,Other
7311700,Undeveloped
7311800,Undeveloped
7312100,Undeveloped
7331000,Other
8028500,Other
8057200,Urban
8057410,Other
8064100,Other
8065350,Other
8070200,Other
8178800,Urban
8181800,Urban
8313000,Undeveloped
8319000,Undeveloped
8329000,Undeveloped
8330000,Undeveloped
8332010,Undeveloped
8334000,Undeveloped
8340500,Undeveloped
8353000,Undeveloped
8384500,Undeveloped
8396500,Undeveloped
9041090,Undeveloped
9041400,Undeveloped
9066510,Undeveloped
9085000,Undeveloped
9095500,Undeveloped
9112200,Undeveloped
9152500,Undeveloped
9163500,Undeveloped
9169500,Undeveloped
9171100,Undeveloped
9180000,Undeveloped
9196500,Undeveloped
9211200,Undeveloped
9217000,Undeveloped
9251000,Undeveloped
9260000,Undeveloped
9302000,Undeveloped
9304200,Undeveloped
9304800,Undeveloped
9306290,Undeveloped
9306500,Undeveloped
9328500,Undeveloped
9352900,Undeveloped
9364500,Undeveloped
9371492,Undeveloped
9371520,Undeveloped
9372000,Undeveloped
9382000,Undeveloped
9397300,Undeveloped
9415000,Undeveloped
94196783,Other
9498500,Undeveloped
9504000,Undeveloped
9508500,Undeveloped
10168000,Urban
10171000,Other
10172200,Undeveloped
10265150,Other
10336580,Undeveloped
103366092,Undeveloped
10336610,Other
10336645,Undeveloped
10336660,Undeveloped
10336674,Undeveloped
10336676,Undeveloped
10336698,Other
103366993,Undeveloped
10336700,Other
10336730,Undeveloped
10336740,Undeveloped
103367592,Undeveloped
10336760,Other
10336770,Undeveloped
10336775,Undeveloped
10343500,Undeveloped
11059300,Other
11074000,Urban
11109000,Other
11118500,Other
11126000,Undeveloped
11128500,Undeveloped
11132500,Undeveloped
11133000,Undeveloped
11136100,Other
11136800,Undeveloped
11138500,Undeveloped
11141050,Other
11169025,Urban
11176900,Other
11179000,Other
11180825,Other
11180960,Other
11181040,Urban
11264500,Undeveloped
11274538,Undeveloped
11465200,Undeveloped
11467000,Other
11525600,Undeveloped
12189500,Undeveloped
12323250,Other
12323600,Other
12323750,Other
12323800,Other
12324200,Undeveloped
12324680,Undeveloped
12331800,Undeveloped
12334550,Undeveloped
12340000,Undeveloped
12340500,Undeveloped
12413470,Undeveloped
12413500,Undeveloped
12413860,Undeveloped
12510500,Other
13063000,Undeveloped
13092747,Undeveloped
13213000,Other
13351000,Agricultural
14161500,Undeveloped
14201300,Other
14202980,Undeveloped
14203500,Undeveloped
14206950,Urban
14211720,Other
14216500,Undeveloped
14240525,Undeveloped
14241500,Other
14242580,Other
14243000,Undeveloped
401733105392404,Undeveloped
402114105350101,Undeveloped
