Station,Error Reason
01097000.csv,Not enough valid data for 00300 (only 1 points)
01097000.csv,Not enough valid data for 00400 (only 1 points)
01097000.csv,Not enough valid data for 00405 (only 0 points)
01097000.csv,Not enough valid data for 00600 (only 1 points)
01097000.csv,Not enough valid data for 00605 (only 1 points)
01097000.csv,Not enough valid data for 00618 (only 0 points)
01097000.csv,Not enough valid data for 00681 (only 0 points)
01097000.csv,Not enough valid data for 00915 (only 0 points)
01097000.csv,Not enough valid data for 00925 (only 0 points)
01097000.csv,Not enough valid data for 00930 (only 0 points)
01097000.csv,Not enough valid data for 00935 (only 0 points)
01097000.csv,Not enough valid data for 00940 (only 0 points)
01097000.csv,Not enough valid data for 00945 (only 0 points)
01097000.csv,Not enough valid data for 00955 (only 0 points)
01097000.csv,Not enough valid data for 71846 (only 1 points)
01097000.csv,Not enough valid data for 80154 (only 0 points)
01111500.csv,Not enough valid data for 00681 (only 0 points)
01111500.csv,Not enough valid data for 00955 (only 0 points)
01116500.csv,Not enough valid data for 00681 (only 0 points)
01116500.csv,Not enough valid data for 00955 (only 0 points)
01118500.csv,Not enough valid data for 00681 (only 0 points)
01124000.csv,Not enough valid data for 00681 (only 0 points)
01124000.csv,Not enough valid data for 80154 (only 0 points)
01125100.csv,Not enough valid data for 00681 (only 0 points)
01125100.csv,Not enough valid data for 80154 (only 0 points)
01127000.csv,Not enough valid data for 00681 (only 0 points)
01188000.csv,Not enough valid data for 00681 (only 0 points)
01188000.csv,Not enough valid data for 80154 (only 0 points)
01189995.csv,Not enough valid data for 00681 (only 0 points)
01189995.csv,Not enough valid data for 80154 (only 1 points)
01192883.csv,Not enough valid data for 00681 (only 0 points)
01196500.csv,Not enough valid data for 00681 (only 0 points)
01198125.csv,Not enough valid data for 00681 (only 0 points)
01201487.csv,Not enough valid data for 00681 (only 0 points)
01205500.csv,Not enough valid data for 00681 (only 0 points)
01208500.csv,Not enough valid data for 00681 (only 0 points)
01208500.csv,Not enough valid data for 80154 (only 0 points)
01208990.csv,Not enough valid data for 00681 (only 0 points)
01208990.csv,Not enough valid data for 80154 (only 0 points)
01331095.csv,Not enough valid data for 00600 (only 0 points)
01331095.csv,Not enough valid data for 00605 (only 0 points)
01331095.csv,Not enough valid data for 00618 (only 0 points)
01331095.csv,Not enough valid data for 00660 (only 0 points)
01331095.csv,Not enough valid data for 00665 (only 0 points)
01331095.csv,Not enough valid data for 00681 (only 0 points)
01331095.csv,Not enough valid data for 00915 (only 0 points)
01331095.csv,Not enough valid data for 00925 (only 0 points)
01331095.csv,Not enough valid data for 00930 (only 0 points)
01331095.csv,Not enough valid data for 00935 (only 0 points)
01331095.csv,Not enough valid data for 00940 (only 0 points)
01331095.csv,Not enough valid data for 00945 (only 0 points)
01331095.csv,Not enough valid data for 00955 (only 0 points)
01331095.csv,Not enough valid data for 71846 (only 0 points)
01349840.csv,Not enough valid data for 00095 (only 0 points)
01349840.csv,Not enough valid data for 00300 (only 0 points)
01349840.csv,Not enough valid data for 00400 (only 0 points)
01349840.csv,Not enough valid data for 00405 (only 0 points)
01349840.csv,Not enough valid data for 00600 (only 1 points)
01349840.csv,Not enough valid data for 00605 (only 0 points)
01349840.csv,Not enough valid data for 71846 (only 0 points)
01349950.csv,Not enough valid data for 00095 (only 0 points)
01349950.csv,Not enough valid data for 00300 (only 0 points)
01349950.csv,Not enough valid data for 00400 (only 0 points)
01349950.csv,Not enough valid data for 00405 (only 0 points)
01362370.csv,Not enough valid data for 00095 (only 0 points)
01362370.csv,Not enough valid data for 00300 (only 0 points)
01362370.csv,Not enough valid data for 00400 (only 0 points)
01362370.csv,Not enough valid data for 00405 (only 0 points)
01362370.csv,Not enough valid data for 00600 (only 0 points)
01362370.csv,Not enough valid data for 00605 (only 0 points)
01362370.csv,Not enough valid data for 71846 (only 0 points)
01364959.csv,Not enough valid data for 00095 (only 0 points)
01364959.csv,Not enough valid data for 00300 (only 0 points)
01364959.csv,Not enough valid data for 00400 (only 0 points)
01364959.csv,Not enough valid data for 00405 (only 0 points)
01364959.csv,Not enough valid data for 00600 (only 0 points)
01364959.csv,Not enough valid data for 00605 (only 0 points)
01364959.csv,Not enough valid data for 71846 (only 0 points)
01364959.csv,Not enough valid data for 80154 (only 0 points)
01421618.csv,Not enough valid data for 00095 (only 0 points)
01421618.csv,Not enough valid data for 00300 (only 0 points)
01421618.csv,Not enough valid data for 00400 (only 0 points)
01421618.csv,Not enough valid data for 00405 (only 0 points)
01422738.csv,Not enough valid data for 00095 (only 0 points)
01422738.csv,Not enough valid data for 00300 (only 0 points)
01422738.csv,Not enough valid data for 00400 (only 0 points)
01422738.csv,Not enough valid data for 00405 (only 0 points)
01422738.csv,Not enough valid data for 00605 (only 0 points)
01422738.csv,Not enough valid data for 71846 (only 0 points)
01422747.csv,Not enough valid data for 00095 (only 0 points)
01422747.csv,Not enough valid data for 00300 (only 0 points)
01422747.csv,Not enough valid data for 00400 (only 0 points)
01422747.csv,Not enough valid data for 00405 (only 0 points)
158397967.csv,Not enough valid data for 00600 (only 0 points)
158397967.csv,Not enough valid data for 00605 (only 0 points)
158397967.csv,Not enough valid data for 00681 (only 0 points)
158397967.csv,Not enough valid data for 80154 (only 0 points)
01434021.csv,Not enough valid data for 00405 (only 0 points)
01434021.csv,Not enough valid data for 00600 (only 0 points)
01434021.csv,Not enough valid data for 00605 (only 0 points)
01480617.csv,Not enough valid data for 00681 (only 0 points)
01480870.csv,Not enough valid data for 00681 (only 0 points)
01481000.csv,Not enough valid data for 00618 (only 1 points)
01481000.csv,Not enough valid data for 00915 (only 0 points)
01481000.csv,Not enough valid data for 00925 (only 0 points)
01481000.csv,Not enough valid data for 00930 (only 0 points)
01481000.csv,Not enough valid data for 00935 (only 0 points)
01481000.csv,Not enough valid data for 00955 (only 0 points)
01481000.csv,Not enough valid data for 80154 (only 0 points)
01534000.csv,Not enough valid data for 00605 (only 0 points)
01534000.csv,Not enough valid data for 00618 (only 0 points)
01534000.csv,Not enough valid data for 00681 (only 0 points)
01534000.csv,Not enough valid data for 00915 (only 1 points)
01534000.csv,Not enough valid data for 00925 (only 1 points)
01534000.csv,Not enough valid data for 00930 (only 0 points)
01534000.csv,Not enough valid data for 00935 (only 0 points)
01534000.csv,Not enough valid data for 00955 (only 0 points)
01540500.csv,Not enough valid data for 00681 (only 0 points)
