staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01054200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01097000,,,,,,,,,,,,,,,,,,,,,,,,,0.3821908,0.418,10.253,0.46727577,0.421,4.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01111500,0.92926466,0.949,6.504,0.609695,0.509,1.034,0.83378935,0.797,1.076,-0.09047312,0.003,0.897,,,,0.05624388,0.087,12.693,0.075736314,0.195,15.444,,,,,,,-0.22281513,0.0,6.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01116500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01118500,0.92787737,0.935,0.162,0.53630567,0.389,0.947,0.7549728,0.594,0.549,-0.15072891,0.022,1.235,,,,0.35339218,0.191,1.643,0.35571757,0.243,2.982,0.60931647,0.497,1.769,0.39240944,0.337,5.688,0.36010078,0.275,2.708,,,,0.47222126,0.267,0.654,0.3822029,0.202,1.648,0.3355651,0.152,0.552,,,,0.7871947,0.647,0.54,,,,,,,0.18452601,0.084,4.565,,,
01124000,0.90882313,0.907,0.277,0.78405225,0.742,2.808,0.78451186,0.778,3.615,-0.58342665,0.125,1.747,,,,0.32950398,0.278,0.657,0.51320046,0.356,4.668,,,,,,,0.7815801,0.748,14.25,,,,0.6043042,0.555,0.368,0.42066965,0.248,2.185,,,,,,,0.81303847,0.758,4.025,0.1894332,0.193,0.776,,,,,,,,,
01125100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01127000,0.9530589,0.928,2.029,0.7141312,0.546,6.692,0.91637003,0.844,1.613,-0.48282492,0.084,2.123,,,,0.65548635,0.473,6.552,0.55580443,0.381,6.153,0.4831149,0.339,5.19,0.61494356,0.508,10.104,0.7541835,0.688,15.423,,,,0.55840063,0.401,0.433,0.38215443,0.205,0.949,,,,,,,0.8199498,0.686,4.529,0.5797736,0.361,4.319,,,,0.3938654,0.339,2.693,,,
01170100,0.8671276,0.817,8.843,-0.18473482,0.033,10.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01184000,0.9480459,0.952,4.406,0.40143603,0.438,2.509,0.9255281,0.875,1.182,0.087847345,0.008,0.469,0.19799498,0.151,9.638,0.55084074,0.4,4.031,0.2749294,0.204,4.423,0.44705436,0.453,0.734,0.4068721,0.318,23.993,0.1943705,0.261,1.925,,,,0.39574188,0.318,1.965,0.3858355,0.309,1.636,0.43910784,0.445,1.912,0.5254135,0.458,0.59,0.45935753,0.473,0.959,0.78900325,0.75,1.476,0.7273158,0.577,0.758,0.3434216,0.184,27.186,0.20683822,0.377,20.219
01184490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01188000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01189995,0.94821787,0.92,2.53,0.67137605,0.612,0.35,0.90348065,0.834,0.873,0.09400687,0.041,1.286,,,,0.36687183,0.289,2.387,-0.054054238,0.024,1.594,,,,,,,0.51767665,0.553,0.805,,,,0.25867707,0.176,1.889,0.3865977,0.263,0.839,,,,,,,0.76815027,0.741,0.479,0.50603634,0.491,0.318,,,,,,,,,
01192500,0.8848706,0.856,2.992,0.39930648,0.265,13.914,0.6937537,0.519,2.128,-1.8098772,0.052,4.321,,,,-0.07232786,0.0,4.682,-0.021431549,0.028,1.695,,,,,,,0.31122267,0.211,1.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01192883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07290506,0.277,11.736
01193500,0.86164343,0.894,0.155,0.7514865,0.683,1.031,0.7818224,0.614,1.487,-0.3325002,0.038,2.175,,,,0.1440228,0.149,6.793,0.39342275,0.224,3.463,,,,,,,0.33331895,0.337,9.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2497574,0.322,11.293
