staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01054200,0.82464004,0.814,14.49,-0.13967463,0.012,69.753,,,,-1.0020746,0.019,18.956,,,,,,,,,,-0.2887581,0.021,8.092,-2.811102,0.058,76.433,,,,0.53848517,0.579,30.908,-0.3385186,0.096,22.59,-0.48497355,0.203,31.248,-0.67875296,0.292,65.199,0.12356655,0.06,43.78,0.028308887,0.005,26.467,-0.83434325,0.675,9.317,-0.9753856,0.351,116.711,-21159.736,0.0,20.034,,,
01097000,,,,,,,,,,,,,,,,,,,,,,,,,0.5432502,0.304,7.792,0.081362866,0.094,50.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01111500,0.9032968,0.869,5.564,0.07078662,0.013,14.808,0.56784433,0.476,5.335,-2.2966435,0.05,5.224,,,,-0.08541499,0.005,6.06,0.66019034,0.503,13.317,0.31549102,0.143,9.808,-8.169057,0.0,33.386,0.00074326695,0.218,83.557,,,,-0.035432596,0.0,7.566,-0.025287148,0.0,6.312,-0.003974782,0.008,7.328,,,,-0.1365471,0.003,9.755,,,,,,,0.0127275335,0.131,71.786,-0.31392685,0.001,59.577
01116500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01118500,0.8266044,0.878,15.806,0.46443242,0.317,28.834,0.48204944,0.346,15.495,-0.28172186,0.037,18.164,,,,0.38103747,0.169,12.378,0.33720163,0.246,1.276,0.22384638,0.333,65.068,-0.19216463,0.206,105.566,0.09343661,0.073,32.15,,,,0.2599249,0.092,15.269,0.20328434,0.055,14.597,-0.10773735,0.003,22.44,,,,-0.18008576,0.0,14.875,,,,,,,-0.07036507,0.008,25.242,-0.023573628,0.064,36.693
01124000,0.82389265,0.917,16.745,0.54404134,0.46,31.507,0.7667324,0.694,14.776,-2.175729,0.001,19.511,-0.04393064,0.001,9.609,0.24371736,0.215,48.582,0.57798916,0.366,14.883,0.10650164,0.28,72.473,-3.1413412,0.004,58.294,0.44221056,0.239,18.828,,,,0.41865778,0.271,6.578,0.36438528,0.147,9.067,0.35375676,0.235,3.344,0.5157524,0.306,13.119,0.30745864,0.23,0.12,0.18718219,0.157,37.24,0.6478321,0.449,7.457,-0.7253385,0.064,155.43,,,
01125100,0.8588168,0.933,11.397,0.32550123,0.157,5.365,0.77036875,0.675,12.829,-1.3656846,0.054,14.823,-0.3463089,0.076,42.757,0.5052455,0.326,23.423,-0.17574342,0.239,76.42,0.08144168,0.066,2.536,-1.588707,0.019,16.943,0.012845647,0.129,72.315,,,,0.5597299,0.569,30.802,0.4764107,0.254,14.012,0.05904611,0.044,3.023,0.61027867,0.492,23.855,0.18076906,0.146,1.101,0.33761868,0.229,40.794,0.49185023,0.491,22.313,-0.27711797,0.021,3.057,,,
01127000,0.9188708,0.94,7.475,0.3283198,0.212,8.465,0.85546637,0.756,4.957,-1.3120025,0.112,8.315,0.08277785,0.047,22.335,0.08010764,0.01,5.6,0.5762062,0.348,2.828,0.41579837,0.258,17.996,0.14652182,0.206,65.195,0.24608533,0.206,37.091,,,,0.26900476,0.175,0.357,0.12452969,0.04,0.238,0.024705503,0.073,7.184,0.48228064,0.363,11.132,0.15782237,0.215,4.371,-0.24429455,0.02,18.145,0.74466836,0.697,6.342,-0.06004223,0.067,16.675,,,
01170100,0.7473141,0.83,22.27,-0.6086559,0.253,56.891,0.2014184,0.452,45.239,-3.788996,0.062,19.998,,,,,,,,,,0.6236321,0.39,0.707,-78.1528,0.0,398.982,,,,0.42300096,0.579,10.209,-0.00044828115,0.001,21.594,0.06661119,0.006,1.764,-0.82810247,0.438,33.487,0.20290117,0.062,5.72,-0.43813413,0.146,36.691,-0.889422,0.406,3.376,-0.17006078,0.06,12.355,-0.36067104,0.048,5.007,,,
01184000,0.79819226,0.933,19.842,0.3577212,0.197,26.982,0.9567713,0.933,1.439,-0.51397276,0.0,12.715,-0.14987434,0.049,75.055,-0.16871446,0.005,8.178,0.3375722,0.367,13.037,0.24726708,0.135,23.445,-0.22347824,0.082,84.36,-0.03247372,0.169,11.003,0.21913119,0.221,6.695,0.17426652,0.072,9.806,0.03051855,0.02,3.785,-0.27758735,0.002,4.263,0.45418453,0.232,4.182,0.32217452,0.294,24.115,0.061068326,0.034,37.633,0.689813,0.5,2.079,-0.09294569,0.017,43.416,-0.027839888,0.164,42.958
