staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01054200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01111500,0.9733894,0.951,0.752,0.60522175,0.705,0.023,0.8275473,0.771,0.836,-0.21321431,0.023,0.972,,,,,,,0.42382783,0.378,4.087,,,,,,,0.09152427,0.093,13.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01116500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01118500,0.9383771,0.932,5.002,0.5286915,0.47,2.519,0.78718585,0.632,2.229,-0.17136872,0.023,1.294,,,,0.4042823,0.169,5.942,0.38805434,0.173,2.526,0.51111543,0.439,0.571,0.378617,0.393,11.337,0.49549076,0.363,7.713,,,,0.43035606,0.298,0.289,0.37253803,0.258,0.025,,,,,,,0.71227217,0.718,1.126,,,,,,,0.26779568,0.176,8.589,,,
01124000,0.9682666,0.946,0.427,0.62996,0.733,1.888,0.8589181,0.833,1.49,-0.19688368,0.001,1.985,,,,0.5088107,0.38,4.685,0.4316743,0.3,3.638,0.42777973,0.39,4.774,0.21093097,0.067,9.949,0.8056444,0.674,6.548,,,,0.42582157,0.547,6.536,0.38573006,0.318,2.506,,,,,,,0.6055775,0.792,7.467,0.1934515,0.313,2.921,,,,0.30125213,0.162,6.483,,,
01125100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01127000,0.9661055,0.942,1.196,0.53689367,0.696,1.612,0.8953883,0.835,0.736,0.21785167,0.056,0.542,,,,0.45142588,0.375,2.399,0.32765502,0.22,1.608,0.4754923,0.35,4.799,0.12633705,0.113,0.088,0.47695732,0.512,2.962,,,,0.45042175,0.549,4.773,0.3618263,0.333,2.651,,,,,,,0.6339818,0.742,5.806,0.37327582,0.14,1.696,,,,0.31265208,0.166,4.195,,,
01170100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01184000,0.9653816,0.959,0.735,0.27562827,0.306,1.963,0.93113804,0.899,0.113,0.09118093,0.009,0.083,0.036967516,0.079,0.345,0.34190816,0.212,0.223,0.15696222,0.127,0.3,0.39628756,0.468,1.952,0.3898045,0.231,3.845,0.04774832,0.046,2.7,,,,0.44212726,0.291,1.005,0.42235366,0.299,1.104,0.21401061,0.361,6.758,0.5780172,0.483,2.843,0.28744796,0.458,7.603,0.7790773,0.625,2.976,0.70297587,0.584,2.065,0.5054145,0.405,2.097,,,
01184490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01188000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01189995,0.90359807,0.914,5.135,0.57336295,0.488,3.544,0.8598479,0.765,0.611,-0.43393207,0.049,2.155,,,,0.29870346,0.255,4.382,-0.026448552,0.043,6.178,,,,,,,0.36859545,0.402,8.473,,,,0.16427746,0.096,4.435,0.2372422,0.097,2.681,,,,,,,0.8217901,0.722,2.149,0.42848206,0.211,1.541,,,,,,,,,
01192500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01192883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01193500,0.8632265,0.893,10.941,0.69533116,0.681,4.124,0.83306396,0.762,0.263,-0.5160334,0.016,2.692,,,,0.552767,0.391,5.537,0.29007268,0.248,1.559,,,,,,,0.41237584,0.282,14.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01196500,0.91604286,0.912,0.863,0.5286468,0.417,2.32,0.8466012,0.719,0.995,-0.70694137,0.111,0.846,,,,0.558518,0.476,0.544,0.13594346,0.084,3.209,0.556464,0.428,0.675,0.44294223,0.379,11.223,0.4621728,0.323,10.489,,,,0.027298627,0.025,1.073,-0.09885317,0.0,1.176,,,,,,,0.7194253,0.538,5.131,0.3939467,0.231,1.115,,,,0.11992482,0.183,2.675,,,
01198125,0.83572257,0.918,12.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1059049,0.536,78.082
01201487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01205500,0.9535263,0.941,2.441,0.44288844,0.308,1.648,0.83995545,0.718,1.347,-1.120334,0.022,2.271,,,,0.5473781,0.308,8.041,0.49152067,0.353,5.253,,,,0.33449367,0.134,1.582,0.017841037,0.048,4.085,,,,,,,,,,,,,,,,,,,,,,,,,0.49614352,0.293,4.106,,,
01208500,0.9264252,0.896,4.234,0.5130353,0.34,1.256,0.86818683,0.762,0.495,-0.04365869,0.002,1.687,,,,0.69714934,0.579,3.483,0.37367874,0.294,0.322,0.5988012,0.64,9.279,0.49179786,0.531,0.555,0.57441795,0.514,0.881,,,,0.5012648,0.269,0.471,0.56817424,0.536,2.644,,,,,,,0.3696178,0.28,3.607,0.5331409,0.355,0.288,,,,0.23847003,0.298,60.646,,,
01208990,0.90247846,0.908,3.749,0.5928373,0.396,3.303,0.6927174,0.584,1.163,-2.6141577,0.032,2.359,,,,0.15352927,0.173,15.264,0.11149424,0.228,18.682,,,,,,,0.43913388,0.386,4.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01331095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057760492,0.167,13.244
